u,y,time
7.3,1.4,1
7.2,2,2
7,1.4,3
7,1.5,4
7.2,.9,5
7,1.5,6
6.8,1.2,7
6.6,1.5,8
6.3,1.6,9
6,1.7,10
5.8,2.5,11
5.7,1.3,12
5.5,2.2,13
5.5,1.7,14
5.3,2.1,15
5.2,2.1,16
5.2,1.7,17
5.2,1.5,18
5.4,.9,19
5.3,2.3,20
5.3,1.6,21
5.7,.9,22
6.1,-.1,23
6.6,.6,24
6.8,1.4,25
6.9,1.2,26
7.1,1,27
7.4,1.6,28
7.6,1.7,29
7.6,1.5,30
7.4,1.6,31
7.1,.8,32
7.1,1.2,33
6.8,1,34
6.6,1.9,35
6.6,1.5,36
6.2,1.9,37
6,1.2,38
5.6,1.6,39
5.5,.8,40
5.7,.7,41
5.7,1.3,42
5.6,1.2,43
5.5,1.3,44
5.5,2.1,45
5.3,1.2,46
5.3,1.7,47
5.2,1.4,48
5,1.7,49
4.9,1.6,50
4.7,1.1,51
4.6,1.1,52
4.4,1.1,53
4.5,1.7,54
4.4,2,55
4.3,1.3,56
4.3,1.1,57
4.2,1.6,58
4.1,2.2,59
4,1.1,60
3.9,2.5,61
4,.7,62
3.9,1.1,63
4.2,.3,64
4.4,1.3,65
4.8,0,66
5.5,.7,67
5.7,1.2,68
5.8,1,69
5.7,.9,70
5.9,.6,71
5.9,1.1,72
6.1,1.1,73
6.1,2.2,74
5.8,1.4,75
5.7,1.6,76
5.6,1.6,77
5.4,1.5,78
5.4,1.6,79
5.3,1.9,80
5.1,1.1,81
5,1.8,82
4.9,1.4,83
4.7,2.1,84
4.7,1.2,85
4.6,.8,86
4.4,1.2,87
4.5,1.4,88
4.5,1.5,89
4.7,1.3,90
4.8,1.1,91
4.9,.3,92
5.4,.9,93
6.1,.3,94
6.9,-1.4,95
8.1,-1.2,96
9.300000000000001,-.2,97
9.6,.8,98
