year,unem,inf,inf_1,unem_1,cinf,cunem
1948,3.8,8.1000004,,,,
1949,5.9000001,-1.2,8.1000004,3.8,-9.3000002,2.1000001
1950,5.3000002,1.3,-1.2,5.9000001,2.5,-.5999999
1951,3.3,7.9000001,1.3,5.3000002,6.6000004,-2.0000002
1952,3,1.9,7.9000001,3.3,-6,-.29999995
1953,2.9000001,.80000001,1.9,3,-1.0999999,-.099999905
1954,5.5,.69999999,.80000001,2.9000001,-.10000002,2.5999999
1955,4.4000001,-.40000001,.69999999,5.5,-1.1,-1.0999999
1956,4.0999999,1.5,-.40000001,4.4000001,1.9,-.30000019
1957,4.3000002,3.3,1.5,4.0999999,1.8,.20000029
1958,6.8000002,2.8,3.3,4.3000002,-.5,2.5
1959,5.5,.69999999,2.8,6.8000002,-2.0999999,-1.3000002
1960,5.5,1.7,.69999999,5.5,1,0
1961,6.6999998,1,1.7,5.5,-.70000005,1.1999998
1962,5.5,1,1,6.6999998,0,-1.1999998
1963,5.6999998,1.3,1,5.5,.29999995,.19999981
1964,5.1999998,1.3,1.3,5.6999998,0,-.5
1965,4.5,1.6,1.3,5.1999998,.30000007,-.69999981
1966,3.8,2.9000001,1.6,4.5,1.3000001,-.70000005
1967,3.8,3.0999999,2.9000001,3.8,.19999981,0
1968,3.5999999,4.1999998,3.0999999,3.8,1.0999999,-.20000005
1969,3.5,5.5,4.1999998,3.5999999,1.3000002,-.099999905
1970,4.9000001,5.6999998,5.5,3.5,.19999981,1.4000001
1971,5.9000001,4.4000001,5.6999998,4.9000001,-1.2999997,1
1972,5.5999999,3.2,4.4000001,5.9000001,-1.2,-.30000019
1973,4.9000001,6.1999998,3.2,5.5999999,2.9999998,-.69999981
1974,5.5999999,11,6.1999998,4.9000001,4.8000002,.69999981
1975,8.5,9.1000004,11,5.5999999,-1.8999996,2.9000001
1976,7.6999998,5.8000002,9.1000004,8.5,-3.3000002,-.80000019
1977,7.0999999,6.5,5.8000002,7.6999998,.69999981,-.5999999
1978,6.0999999,7.5999999,6.5,7.0999999,1.0999999,-1
1979,5.8000002,11.3,7.5999999,6.0999999,3.7000003,-.29999971
1980,7.0999999,13.5,11.3,5.8000002,2.1999998,1.2999997
1981,7.5999999,10.3,13.5,7.0999999,-3.1999998,.5
1982,9.6999998,6.1999998,10.3,7.5999999,-4.1000004,2.0999999
1983,9.6000004,3.2,6.1999998,9.6999998,-2.9999998,-.099999428
1984,7.5,4.3000002,3.2,9.6000004,1.1000001,-2.1000004
1985,7.1999998,3.5999999,4.3000002,7.5,-.70000029,-.30000019
1986,7,1.9,3.5999999,7.1999998,-1.6999999,-.19999981
1987,6.1999998,3.5999999,1.9,7,1.6999999,-.80000019
1988,5.5,4.0999999,3.5999999,6.1999998,.5,-.69999981
1989,5.3000002,4.8000002,4.0999999,5.5,.70000029,-.19999981
1990,5.5999999,5.4000001,4.8000002,5.3000002,.5999999,.29999971
1991,6.8000002,4.1999998,5.4000001,5.5999999,-1.2000003,1.2000003
1992,7.5,3,4.1999998,6.8000002,-1.1999998,.69999981
1993,6.9000001,3,3,7.5,0,-.5999999
1994,6.0999999,2.5999999,3,6.9000001,-.4000001,-.80000019
1995,5.5999999,2.8,2.5999999,6.0999999,.20000005,-.5
1996,5.4000001,3,2.8,5.5999999,.20000005,-.19999981
1997,4.9000001,2.3,3,5.4000001,-.70000005,-.5
1998,4.5,1.6,2.3,4.9000001,-.69999993,-.4000001
1999,4.1999998,2.2,1.6,4.5,.60000002,-.30000019
2000,4,3.4000001,2.2,4.1999998,1.2,-.19999981
2001,4.8000002,2.8,3.4000001,4,-.60000014,.80000019
2002,5.8000002,1.6,2.8,4.8000002,-1.1999999,1
2003,6,2.3,1.6,5.8000002,.69999993,.19999981
